"","V1","V2","V3","V4","V5"
"1",1,72,1485141,1,1485212
"2",1,70,1492441,1,1492510
"3",1,35,1496457,1,1496491
"4",1,71,1504421,1,1504491
"5",1,55,1505306,1,1505360
"6",1,57,1507086,1,1507142
"7",1,39,1508401,1,1508439
"8",1,80,1511392,1,1511471
"9",1,88,1512405,1,1512492
"10",1,28,1518986,1,1519013
"11",1,50,1519362,1,1519411
"12",1,65,1521438,1,1521502
"13",1,15,1522602,1,1522616
"14",1,36,1525502,1,1525537
"15",1,114,1525721,1,1525834
"16",1,58,1534352,1,1534409
"17",1,103,1536972,1,1537074
"18",1,32,1543330,1,1543361
"19",1,69,1544410,1,1544478
"20",1,53,1550574,1,1550626
"21",1,50,1551548,1,1551597
"22",1,73,1552370,1,1552442
"23",1,48,1555511,1,1555558
"24",1,82,1555921,1,1556002
"25",1,52,1556468,1,1556519
"26",1,87,1557401,1,1557487
"27",1,89,1558437,1,1558525
"28",1,105,1560773,1,1560877
"29",1,20,1565194,1,1565213
"30",1,57,1565601,1,1565657
"31",1,44,1568932,1,1568975
"32",1,62,1571032,1,1571093
"33",1,85,1572831,1,1572915
"34",1,75,1574938,1,1575012
"35",1,86,1579736,1,1579821
"36",1,92,1580196,1,1580287
"37",1,100,1580791,1,1580890
"38",1,42,1581604,1,1581645
"39",1,74,1587188,1,1587261
"40",1,105,1587568,1,1587672
"41",1,21,1593726,1,1593746
"42",1,76,1594150,1,1594225
"43",1,56,1599222,1,1599277
"44",1,80,1601502,1,1601581
"45",1,85,1602350,1,1602434
"46",1,113,1602969,1,1603081
"47",1,123,1605980,1,1606102
"48",1,41,1609860,1,1609900
"49",1,90,1610211,1,1610300
"50",1,100,1610574,1,1610673
"51",1,84,1611350,1,1611433
"52",1,122,1611717,1,1611838
"53",1,87,1612384,1,1612470
"54",1,76,1617160,1,1617235
"55",1,88,1617544,1,1617631
"56",1,122,1617981,1,1618102
"57",1,93,1623652,1,1623744
"58",1,156,1624167,1,1624322
"59",1,127,1630658,1,1630784
"60",1,13,1631196,1,1631208
"61",1,82,1632346,1,1632427
"62",1,120,1633381,1,1633500
"63",1,39,1637249,1,1637287
"64",1,82,1638027,1,1638108
"65",1,120,1638401,1,1638520
"66",1,90,1638911,1,1639000
"67",1,80,1639353,1,1639432
"68",1,115,1640103,1,1640217
"69",1,34,1645845,1,1645878
"70",1,107,1646137,1,1646243
"71",1,18,1648812,1,1648829
"72",1,77,1651148,1,1651224
"73",1,135,1656353,1,1656487
"74",1,69,1656818,1,1656886
"75",1,21,1658630,1,1658650
"76",1,114,1662912,1,1663025
"77",1,76,1663313,1,1663388
"78",1,97,1663685,1,1663781
"79",1,23,1664766,1,1664788
"80",1,90,1666948,1,1667037
"81",1,21,1669268,1,1669288
"82",1,91,1669991,1,1670081
"83",1,63,1671291,1,1671353
"84",1,87,1671786,1,1671872
"85",1,53,1682382,1,1682434
"86",1,110,1686158,1,1686267
"87",1,90,1688367,1,1688456
"88",1,128,1693067,1,1693194
"89",1,95,1694541,1,1694635
"90",1,56,1694954,1,1695009
"91",1,50,1695873,1,1695922
"92",1,80,1696616,1,1696695
"93",1,19,1696916,1,1696934
"94",1,2,1697773,1,1697774
"95",1,37,1702906,1,1702942
"96",1,61,1708476,1,1708536
"97",1,92,1708996,1,1709087
"98",1,22,1711548,1,1711569
"99",1,46,1715650,1,1715695
"100",1,90,1716167,1,1716256
"101",1,67,1716626,1,1716692
"102",1,73,1717436,1,1717508
"103",1,112,1722298,1,1722409
"104",1,90,1722922,1,1723011
"105",1,98,1723344,1,1723441
"106",1,66,1726669,1,1726734
"107",1,38,1731435,1,1731472
"108",1,110,1732894,1,1733003
"109",1,102,1738318,1,1738419
"110",1,94,1738847,1,1738940
"111",1,65,1739588,1,1739652
"112",1,43,1740652,1,1740694
"113",1,99,1741540,1,1741638
"114",1,23,1745372,1,1745394
"115",1,86,1745736,1,1745821
"116",1,65,1749433,1,1749497
"117",1,111,1754017,1,1754127
"118",1,21,1757145,1,1757165
"119",1,31,1758284,1,1758314
"120",1,122,1762050,1,1762171
"121",1,34,1764849,1,1764882
"122",1,15,1772078,1,1772092
"123",1,93,1772360,1,1772452
"124",1,112,1773493,1,1773604
"125",1,98,1778088,1,1778185
"126",1,86,1778837,1,1778922
"127",1,61,1781480,1,1781540
"128",1,43,1786320,1,1786362
"129",1,23,1787487,1,1787509
"130",1,45,1796049,1,1796093
"131",1,87,1796806,1,1796892
"132",1,66,1801303,1,1801368
"133",1,55,1802036,1,1802090
"134",1,28,1803320,1,1803347
"135",1,76,1808254,1,1808329
"136",1,87,1808856,1,1808942
"137",1,75,1811297,1,1811371
"138",1,27,1817762,1,1817788
"139",1,99,1823578,1,1823676
"140",1,125,1829661,1,1829785
"141",1,45,1830417,1,1830461
"142",1,79,1831118,1,1831196
"143",1,87,1831648,1,1831734
"144",1,71,1836201,1,1836271
"145",1,18,1837561,1,1837578
"146",1,64,1838184,1,1838247
"147",1,85,1840188,1,1840272
"148",1,44,1842121,1,1842164
"149",1,91,1842755,1,1842845
"150",1,76,1853998,1,1854073
"151",1,113,1854392,1,1854504
"152",1,66,1854874,1,1854939
"153",1,81,1860942,1,1861022
"154",1,45,1861547,1,1861591
"155",1,99,1862231,1,1862329
"156",1,19,1868741,1,1868759
"157",1,69,1870018,1,1870086
"158",1,93,1870725,1,1870817
"159",1,32,1879367,1,1879398
"160",1,6,1882808,1,1882813
"161",1,123,1887429,1,1887551
"162",1,21,1891863,1,1891883
"163",1,51,1893559,1,1893609
"164",1,142,1895167,1,1895308
"165",1,111,1898747,1,1898857
"166",1,118,1899130,1,1899247
"167",1,80,1899952,1,1900031
"168",1,8,1900346,1,1900353
"169",1,13,1901391,1,1901403
"170",1,24,1905052,1,1905075
"171",1,87,1906130,1,1906216
"172",1,94,1906879,1,1906972
"173",1,85,1907663,1,1907747
"174",1,54,1908542,1,1908595
"175",1,72,1909753,1,1909824
"176",1,67,1913475,1,1913541
"177",1,189,1913923,1,1914111
"178",1,146,1914694,1,1914839
"179",1,131,1917451,1,1917581
"180",1,101,1920905,1,1921005
"181",1,88,1922011,1,1922098
"182",1,90,1923236,1,1923325
"183",1,155,1928067,1,1928221
"184",1,159,1928509,1,1928667
"185",1,62,1932577,1,1932638
"186",1,6,1936726,1,1936731
"187",1,118,1937911,1,1938028
"188",1,72,1938542,1,1938613
"189",1,164,1938975,1,1939138
"190",1,72,1942854,1,1942925
"191",1,51,1943307,1,1943357
"192",1,135,1943702,1,1943836
"193",1,87,1944488,1,1944574
"194",1,105,1945624,1,1945728
"195",1,74,1946641,1,1946714
"196",1,46,1952136,1,1952181
"197",1,49,1953018,1,1953066
"198",1,48,1953796,1,1953843
"199",1,73,1954344,1,1954416
"200",1,47,1955520,1,1955566
"201",1,72,1956063,1,1956134
"202",1,27,1959206,1,1959232
"203",1,69,1959737,1,1959805
"204",1,25,1967315,1,1967339
"205",1,69,1968169,1,1968237
"206",1,188,1970940,1,1971127
"207",1,21,1972109,1,1972129
"208",1,37,1978207,1,1978243
"209",1,138,1978559,1,1978696
"210",1,95,1982780,1,1982874
"211",1,160,1983137,1,1983296
"212",1,21,1986552,1,1986572
"213",1,11,1990273,1,1990283
"214",1,47,1997019,1,1997065
"215",1,53,1999775,1,1999827
"216",1,97,2003920,1,2004016
"217",1,70,2008958,1,2009027
"218",1,49,2009588,1,2009636
"219",1,122,2012609,1,2012730
"220",1,96,2013048,1,2013143
"221",1,51,2014409,1,2014459
"222",1,58,2017202,1,2017259
"223",1,24,2023615,1,2023638
"224",1,16,2025785,1,2025800
"225",1,50,2026423,1,2026472
"226",1,75,2027030,1,2027104
"227",1,36,2028428,1,2028463
"228",1,27,2031729,1,2031755
"229",1,107,2038084,1,2038190
"230",1,116,2041528,1,2041643
"231",1,92,2051775,1,2051866
"232",1,2,2063246,1,2063247
"233",1,102,2063619,1,2063720
"234",1,58,2070713,1,2070770
"235",1,55,2071187,1,2071241
"236",1,66,2082195,1,2082260
"237",1,119,2082743,1,2082861
"238",1,54,2083273,1,2083326
"239",1,44,2085425,1,2085468
"240",1,127,2089154,1,2089280
"241",1,155,2089842,1,2089996
"242",1,42,2095963,1,2096004
"243",1,104,2096386,1,2096489
"244",1,115,2097695,1,2097809
"245",1,103,2098545,1,2098647
"246",1,58,2102827,1,2102884
"247",1,105,2103232,1,2103336
"248",1,83,2103812,1,2103894
"249",1,59,2105911,1,2105969
"250",1,112,2106835,1,2106946
"251",1,26,2110123,1,2110148
"252",1,108,2110749,1,2110856
"253",1,72,2117633,1,2117704
"254",1,79,2118460,1,2118538
"255",1,50,2121592,1,2121641
"256",1,140,2124308,1,2124447
"257",1,115,2124791,1,2124905
"258",1,129,2125254,1,2125382
"259",1,146,2126107,1,2126252
"260",1,103,2126807,1,2126909
"261",1,151,2129102,1,2129252
"262",1,94,2133199,1,2133292
"263",1,93,2136581,1,2136673
"264",1,54,2137608,1,2137661
"265",1,25,2142711,1,2142735
"266",1,86,2143181,1,2143266
"267",1,80,2143861,1,2143940
"268",1,25,2144680,1,2144704
"269",1,136,2144961,1,2145096
"270",1,77,2145660,1,2145736
"271",1,108,2146294,1,2146401
"272",1,148,2161909,1,2162056
"273",1,17,2175278,1,2175294
"274",1,73,2176276,1,2176348
"275",1,101,2176871,1,2176971
"276",1,44,2184900,1,2184943
"277",1,126,2188011,1,2188136
"278",1,94,2188519,1,2188612
"279",1,65,2189311,1,2189375
"280",1,57,2191822,1,2191878
"281",1,12,2192911,1,2192922
"282",1,58,2208453,1,2208510
"283",1,62,2209093,1,2209154
"284",1,60,2219801,1,2219860
"285",1,228,2223617,1,2223844
"286",1,20,2232699,1,2232718
"287",1,44,2238840,1,2238883
"288",1,13,2239192,1,2239204
"289",1,17,2240697,1,2240713
"290",1,57,2241516,1,2241572
"291",1,82,2242421,1,2242502
"292",1,73,2243666,1,2243738
"293",1,102,2246620,1,2246721
"294",1,59,2255075,1,2255133
"295",1,101,2261610,1,2261710
"296",1,191,2267960,1,2268150
"297",1,93,2268513,1,2268605
"298",1,109,2271054,1,2271162
"299",1,102,2272299,1,2272400
"300",1,1,2277070,1,2277070
"301",1,87,2277833,1,2277919
"302",1,73,2283109,1,2283181
"303",1,116,2284032,1,2284147
"304",1,146,2286167,1,2286312
"305",1,49,2288196,1,2288244
"306",1,57,2289346,1,2289402
"307",1,40,2289936,1,2289975
"308",1,25,2291066,1,2291090
"309",1,38,2292123,1,2292160
"310",1,17,2292800,1,2292816
"311",1,102,2293847,1,2293948
"312",1,66,2300679,1,2300744
"313",1,85,2301211,1,2301295
"314",1,27,2303628,1,2303654
"315",1,122,2304488,1,2304609
"316",1,159,2304894,1,2305052
"317",1,98,2305653,1,2305750
"318",1,52,2306935,1,2306986
"319",1,111,2307645,1,2307755
"320",1,84,2308223,1,2308306
"321",1,85,2308896,1,2308980
"322",1,99,2309732,1,2309830
"323",1,61,2310405,1,2310465
"324",1,90,2311256,1,2311345
"325",1,53,2312592,1,2312644
"326",1,26,2314844,1,2314869
"327",1,199,2315258,1,2315456
"328",1,194,2315827,1,2316020
"329",1,44,2317281,1,2317324
"330",1,259,2322157,1,2322415
"331",1,155,2322789,1,2322943
"332",1,162,2324418,1,2324579
"333",1,142,2325838,1,2325979
"334",1,115,2326736,1,2326850
"335",1,107,2330083,1,2330189
"336",1,75,2330511,1,2330585
"337",1,76,2332041,1,2332116
"338",1,48,2333163,1,2333210
"339",1,74,2333658,1,2333731
"340",1,141,2334832,1,2334972
"341",1,100,2335486,1,2335585
"342",1,138,2336279,1,2336416
"343",1,76,2337104,1,2337179
"344",1,39,2341304,1,2341342
"345",1,50,2343293,1,2343342
"346",1,97,2344568,1,2344664
"347",1,108,2345470,1,2345577
"348",1,116,2346620,1,2346735
"349",1,131,2347298,1,2347428
"350",1,104,2348175,1,2348278
"351",1,138,2348963,1,2349100
"352",1,120,2349808,1,2349927
"353",1,106,2354250,1,2354355
"354",1,48,2360107,1,2360154
"355",1,202,2360501,1,2360702
"356",1,168,2364786,1,2364953
"357",1,142,2365644,1,2365785
"358",1,41,2369190,1,2369230
"359",1,194,2369950,1,2370143
"360",1,79,2370930,1,2371008
"361",1,121,2371906,1,2372026
"362",1,131,2372570,1,2372700
"363",1,1,2372721,1,2372721
"364",1,106,2373484,1,2373589
"365",1,93,2374304,1,2374396
"366",1,119,2375664,1,2375782
"367",1,142,2376259,1,2376400
"368",1,80,2377605,1,2377684
"369",1,81,2381209,1,2381289
"370",1,144,2382208,1,2382351
"371",1,488,2388318,1,2388805
"372",1,63,2390969,1,2391031
"373",1,151,2394705,1,2394855
"374",1,141,2395142,1,2395282
"375",1,100,2399221,1,2399320
"376",1,84,2402632,1,2402715
"377",1,172,2403982,1,2404153
"378",1,180,2404448,1,2404627
"379",1,174,2406706,1,2406879
"380",1,32,2408186,1,2408217
"381",1,39,2410323,1,2410361
"382",1,169,2411353,1,2411521
"383",1,99,2411834,1,2411932
"384",1,64,2412551,1,2412614
"385",1,89,2413252,1,2413340
"386",1,110,2414187,1,2414296
"387",1,84,2414828,1,2414911
"388",1,8,2422923,1,2422930
"389",1,79,2423362,1,2423440
"390",1,136,2426273,1,2426408
"391",1,38,2429645,1,2429682
"392",1,53,2431052,1,2431104
"393",1,38,2438309,1,2438346
"394",1,65,2439611,1,2439675
"395",1,53,2445200,1,2445252
"396",1,456,2452094,1,2452549
"397",1,132,2452991,1,2453122
"398",1,82,2457044,1,2457125
"399",1,132,2457447,1,2457578
"400",1,90,2457849,1,2457938
"401",1,9,2465876,1,2465884
"402",1,142,2473883,1,2474024
"403",1,2,2485547,1,2485548
"404",1,92,2485886,1,2485977
"405",1,103,2488761,1,2488863
"406",1,150,2493682,1,2493831
"407",1,177,2494188,1,2494364
"408",1,136,2496217,1,2496352
"409",1,137,2496822,1,2496958
"410",1,107,2504640,1,2504746
"411",1,138,2505208,1,2505345
"412",1,37,2508277,1,2508313
"413",1,96,2517990,1,2518085
"414",1,380,2523203,1,2523582
"415",1,28,2532716,1,2532743
"416",1,43,2538985,1,2539027
"417",1,32,2539794,1,2539825
"418",1,76,2540381,1,2540456
"419",1,27,2546558,1,2546584
"420",1,44,2547125,1,2547168
"421",1,31,2555061,1,2555091
"422",1,76,2560392,1,2560467
"423",1,49,2560909,1,2560957
"424",1,85,2562192,1,2562276
"425",1,118,2567721,1,2567838
"426",1,32,2568943,1,2568974
"427",1,58,2574273,1,2574330
"428",1,390,2574683,1,2575072
"429",1,72,2580612,1,2580683
"430",1,119,2594871,1,2594989
"431",1,185,2597951,1,2598135
"432",1,1,2604883,1,2604883
"433",1,7,2609418,1,2609424
"434",1,50,2616878,1,2616927
"435",1,60,2617691,1,2617750
"436",1,344,2621483,1,2621826
"437",1,80,2622141,1,2622220
"438",1,49,2634824,1,2634872
"439",1,102,2643776,1,2643877
"440",1,93,2644662,1,2644754
"441",1,63,2654635,1,2654697
"442",1,71,2655703,1,2655773
"443",1,45,2658076,1,2658120
"444",1,112,2658730,1,2658841
"445",1,60,2659739,1,2659798
"446",1,52,2663530,1,2663581
"447",1,79,2664402,1,2664480
"448",1,11,2664898,1,2664908
"449",1,10,2665731,1,2665740
"450",1,1,2666834,1,2666834
"451",1,61,2675051,1,2675111
"452",1,53,2675869,1,2675921
"453",1,110,2679683,1,2679792
"454",1,181,2680256,1,2680436
"455",1,113,2680945,1,2681057
"456",1,125,2681556,1,2681680
"457",1,65,2682670,1,2682734
"458",1,47,2683636,1,2683682
"459",1,26,2686389,1,2686414
"460",1,175,2686877,1,2687051
"461",1,153,2689839,1,2689991
"462",1,49,2690709,1,2690757
"463",1,132,2694381,1,2694512
"464",1,215,2694837,1,2695051
"465",1,178,2695350,1,2695527
"466",1,138,2697716,1,2697853
"467",1,177,2698629,1,2698805
"468",1,140,2699173,1,2699312
"469",1,122,2700193,1,2700314
"470",1,93,2701993,1,2702085
"471",1,143,2705664,1,2705806
"472",1,80,2706656,1,2706735
"473",1,42,2709729,1,2709770
"474",1,121,2710206,1,2710326
"475",1,147,2721070,1,2721216
"476",1,106,2721848,1,2721953
"477",1,169,2724651,1,2724819
"478",1,160,2725201,1,2725360
"479",1,8,2727010,1,2727017
"480",1,140,2731021,1,2731160
"481",1,72,2734293,1,2734364
"482",1,141,2738432,1,2738572
"483",1,28,2739102,1,2739129
"484",1,16,2747237,1,2747252
"485",1,28,2747679,1,2747706
"486",1,391,2751513,1,2751903
"487",1,23,2759650,1,2759672
