"","","stimuli_3","durations_3","choices_3","choice_durations_3","record_3"
"1",1,1515308,3350,1518658,1868,1520526
"2",1,1530791,1667,1532458,3551,1536009
"3",1,1562008,1834,1563842,3384,1567226
"4",1,1577342,1833,1579175,3385,1582560
"5",1,1607242,2334,1609576,2884,1612460
"6",1,1621226,2117,1623343,3101,1626444
"7",1,1642293,3267,1645560,1951,1647511
"8",1,1666827,2167,1668994,3051,1672045
"9",1,1705777,2001,1707778,3217,1710995
"10",1,1774745,3067,1777812,2151,1779963
"11",1,1789629,3617,1793246,1601,1794847
"12",1,1844029,5217,1849246,1017,1850263
"13",1,1896447,2050,1898497,3168,1901665
"14",1,1925581,2217,1927798,3001,1930799
"15",1,1941014,1584,1942598,3634,1946232
"16",1,1964298,6417,1970715,1017,1971732
"17",1,1987732,1883,1989615,3335,1992950
"18",1,2073300,1717,2075017,3501,2078518
"19",1,2108350,1484,2109834,3734,2113568
"20",1,2155101,1967,2157068,3251,2160319
"21",1,2178418,1150,2179568,4068,2183636
"22",1,2194968,3234,2198202,1984,2200186
"23",1,2226252,1417,2227669,3801,2231470
"24",1,2243636,2633,2246269,2585,2248854
"25",1,2264819,2867,2267686,2351,2270037
"26",1,2287520,4350,2291870,1017,2292887
"27",1,2338754,1550,2340304,3668,2343972
"28",1,2366921,1533,2368454,3685,2372139
"29",1,2377538,3350,2380888,1868,2382756
"30",1,2424589,1450,2426039,3768,2429807
"31",1,2490006,1434,2491440,3784,2495224
"32",1,2556957,1934,2558891,3284,2562175
"33",1,2564007,2268,2566275,2950,2569225
"34",1,2618925,2317,2621242,2901,2624143
"35",1,2636542,5734,2642276,1016,2643292
"36",1,2645892,1684,2647576,3534,2651110
"37",1,2684843,1267,2686110,3951,2690061
"38",1,2691893,2283,2694176,2935,2697111
"39",1,2735510,2650,2738160,2568,2740728
"40",1,2786411,1384,2787795,3834,2791629
"41",1,2805645,1883,2807528,3334,2810862
"42",1,2836895,1250,2838145,3968,2842113
"43",1,2844545,1817,2846362,3401,2849763
"44",1,2851412,2234,2853646,2984,2856630
"45",1,2883829,3134,2886963,2084,2889047
"46",1,2922580,2100,2924680,3118,2927798
"47",1,2936680,1200,2937880,4018,2941898
"48",1,2974731,2717,2977448,2501,2979949
"49",1,3027481,2468,3029949,2750,3032699
"50",2,5561007,1548,5562555,3670,5566225
"51",2,5638389,1284,5639673,3934,5643607
"52",2,5645239,1051,5646290,4167,5650457
"53",2,5680073,1267,5681340,3951,5685291
"54",2,5728557,2067,5730624,3151,5733775
"55",2,5735424,1234,5736658,3984,5740642
"56",2,5872893,1367,5874260,3851,5878111
"57",2,5901360,1417,5902777,3801,5906578
"58",2,5908244,1383,5909627,3835,5913462
"59",2,5930244,1883,5932127,3335,5935462
"60",2,5937094,1517,5938611,3701,5942312
"61",2,5978995,3250,5982245,1968,5984213
"62",2,5992912,2533,5995445,2685,5998130
"63",2,6013445,2001,6015446,3217,6018663
"64",2,6027179,1617,6028796,3601,6032397
"65",2,6063563,1433,6064996,3785,6068781
"66",2,6091063,3251,6094314,1967,6096281
"67",2,6097913,1617,6099530,3601,6103131
"68",2,6215882,1234,6217116,3984,6221100
"69",2,6222732,884,6223616,4334,6227950
"70",2,6243516,1300,6244816,3918,6248734
"71",2,6250366,683,6251049,4535,6255584
"72",2,6264083,1350,6265433,3868,6269301
"73",2,6305200,1300,6306500,3918,6310418
"74",2,6320550,1634,6322184,3584,6325768
"75",2,6358801,1950,6360751,3268,6364019
"76",2,6365651,1150,6366801,4068,6370869
"77",2,6427385,1084,6428469,4135,6432604
"78",2,6448103,1133,6449236,4084,6453320
"79",2,6469153,1950,6471103,3268,6474371
"80",2,6539704,1384,6541088,3834,6544922
"81",2,6546537,851,6547388,4367,6551755
"82",2,6587805,1200,6589005,4018,6593023
"83",2,6601505,1550,6603055,3668,6606723
"84",2,6637539,1117,6638656,4101,6642757
"85",2,6702907,2250,6705157,2968,6708125
"86",2,6725674,1700,6727374,3518,6730892
"87",2,6739774,1534,6741308,3684,6744992
"88",2,6760474,1301,6761775,3917,6765692
"89",2,6795542,1200,6796742,4018,6800760
"90",2,6861843,2467,6864310,2751,6867061
"91",2,6923294,1083,6924377,4135,6928512
"92",2,6951094,1450,6952544,3768,6956312
"93",2,6957944,2667,6960611,2551,6963162
"94",2,6964778,2167,6966945,3051,6969996
"95",3,9129763,1217,9130980,4001,9134981
"96",3,9136613,1434,9138047,3784,9141831
"97",3,9143463,2401,9145864,2817,9148681
"98",3,9185297,1084,9186381,4134,9190515
"99",3,9199014,967,9199981,4251,9204232
"100",3,9226431,2601,9229032,2617,9231649
"101",3,9253832,917,9254749,4301,9259050
"102",3,9274399,1133,9275532,4085,9279617
"103",3,9282149,1500,9283649,3718,9287367
"104",3,9310316,1250,9311566,3968,9315534
"105",3,9345350,1200,9346550,4018,9350568
"106",3,9379634,1400,9381034,3818,9384852
"107",3,9423601,1884,9425485,3334,9428819
"108",3,9445152,1150,9446302,4068,9450370
"109",3,9452002,1600,9453602,3618,9457220
"110",3,9472552,2517,9475069,2701,9477770
"111",3,9506853,4900,9511753,1017,9512770
"112",3,9542520,2884,9545404,2334,9547738
"113",3,9618055,1133,9619188,4085,9623273
"114",3,9631772,1050,9632822,4168,9636990
"115",3,9721473,1400,9722873,3818,9726691
"116",3,9728357,1583,9729940,3634,9733574
"117",3,9793058,866,9793924,4352,9798276
