"","","Sbj_fixation_timepoints","Sbj_fix_durations","Sbj_stimuli_timepoints","Sbj_durations","Sbj_choice_timepoints","Sbj_choice_durations","Sbj_record_timepoints"
"1",1,1484905,1438,1486343,2814,1489157,2404,1491561
"2",1,1492078,1563,1493641,1783,1495424,3435,1498859
"3",1,1499352,1272,1500624,3117,1503741,2101,1505842
"4",1,1506356,1935,1508291,2833,1511124,2385,1513509
"5",1,1514036,1272,1515308,3350,1518658,1868,1520526
"6",1,1521041,2717,1523758,1500,1525258,3718,1528976
"7",1,1529493,1298,1530791,1667,1532458,3551,1536009
"8",1,1536518,1690,1538208,4067,1542275,1151,1543426
"9",1,1543935,1673,1545608,3867,1549475,1351,1550826
"10",1,1551350,2225,1553575,1683,1555258,3535,1558793
"11",1,1559289,2719,1562008,1834,1563842,3384,1567226
"12",1,1567722,2386,1570108,4601,1574709,1016,1575725
"13",1,1576216,1126,1577342,1833,1579175,3385,1582560
"14",1,1583076,1266,1584342,2234,1586576,2984,1589560
"15",1,1590079,1280,1591359,1533,1592892,3685,1596577
"16",1,1597080,1996,1599076,1900,1600976,3318,1604294
"17",1,1604800,2442,1607242,2334,1609576,2884,1612460
"18",1,1612961,1265,1614226,2683,1616909,2535,1619444
"19",1,1619961,1265,1621226,2117,1623343,3101,1626444
"20",1,1626931,1295,1628226,1767,1629993,3451,1633444
"21",1,1633934,1309,1635243,1700,1636943,3518,1640461
"22",1,1640977,1316,1642293,3267,1645560,1951,1647511
"23",1,1648027,4383,1652410,3350,1655760,1868,1657628
"24",1,1658148,1662,1659810,2850,1662660,2368,1665028
"25",1,1665544,1283,1666827,2167,1668994,3051,1672045
"26",1,1672545,1282,1673827,1933,1675760,3285,1679045
"27",1,1679570,1740,1681310,6817,1688127,1017,1689144
"28",1,1689649,1311,1690960,3301,1694261,1917,1696178
"29",1,1696687,2224,1698911,3283,1702194,1935,1704129
"30",1,1704641,1136,1705777,2001,1707778,3217,1710995
"31",1,1711510,1467,1712977,2917,1715894,2301,1718195
"32",1,1718731,1313,1720044,2000,1722044,3218,1725262
"33",1,1725774,2104,1727878,4333,1732211,1017,1733228
"34",1,1733748,1297,1735045,2933,1737978,2284,1740262
"35",1,1740765,2046,1742811,2200,1745011,3018,1748029
"36",1,1748538,2157,1750695,3067,1753762,2151,1755913
"37",1,1756403,3408,1759811,2034,1761845,3184,1765029
"38",1,1765551,1911,1767462,4033,1771495,1184,1772679
"39",1,1773188,1557,1774745,3067,1777812,2151,1779963
"40",1,1780454,2241,1782695,2784,1785479,2434,1787913
"41",1,1788431,1198,1789629,3617,1793246,1601,1794847
"42",1,1795358,2671,1798029,1483,1799512,3735,1803247
